theta,dist
64.08, 02118.00
64.75, 02126.00
65.42, 02147.00
66.11, 02170.00
66.80, 02206.00
67.50, 02225.00
68.17, 02242.00
68.86, 02266.00
69.42, 02299.00
70.12, 02314.00
70.81, 02341.00
71.62, 02371.00
72.19, 02400.00
72.88, 02432.00
73.58, 02469.00
74.27, 02492.00
74.95, 02542.00
75.64, 02567.00
76.33, 02603.00
77.03, 02653.00
77.72, 02675.00
78.41, 02735.00
79.09, 02764.00
79.78, 02837.00
80.47, 02847.00
81.17, 02905.00
81.73, 02959.00
82.42, 02962.00
83.11, 03011.00
83.80, 03063.00
84.50, 03116.00
85.19, 03191.00
85.88, 03242.00
86.56, 03322.00
87.12, 04180.00
87.95, 03539.00
88.62, 03611.00
89.31, 03669.00
90.00, 03767.00
90.55, 03866.00
91.22, 03995.00
91.91, 04103.00
92.58, 04221.00
93.27, 04332.00
93.95, 04497.00
94.62, 04611.00
95.31, 04717.00
95.98, 04896.00
96.67, 05080.00
97.34, 05251.00
98.03, 05402.00
98.72, 05610.00
99.39, 05837.00
99.95, 06173.00
100.62, 06474.00
101.31, 06791.00
101.98, 07009.00
102.67, 07419.00
105.59, 00000.00
106.28, 00000.00
106.97, 00000.00
107.67, 00000.00
108.11, 08181.00
108.36, 00000.00
108.80, 08450.00
109.05, 00000.00
109.48, 08610.00
109.73, 00000.00
112.50, 00000.00
113.19, 00000.00
113.88, 00000.00
114.27, 08430.00
114.56, 00000.00
114.95, 08498.00
115.25, 00000.00
115.64, 08417.00
115.94, 00000.00
118.70, 00000.00
119.39, 00000.00
120.08, 00000.00
120.44, 08526.00
120.77, 00000.00
121.11, 08540.00
121.45, 00000.00
122.14, 00000.00
124.22, 00000.00
124.91, 00000.00
125.22, 08512.00
125.59, 00000.00
126.28, 00000.00
126.59, 07409.00
126.97, 00000.00
127.28, 06885.00
127.97, 06625.00
128.36, 00000.00
128.64, 07152.00
130.83, 05369.00
131.52, 04505.00
131.80, 00000.00
132.19, 04847.00
132.50, 00000.00
133.56, 04535.00
134.25, 04411.00
134.92, 04203.00
135.25, 00000.00
135.61, 04007.00
136.30, 03869.00
137.11, 03818.00
138.47, 03605.00
139.16, 03518.00
139.84, 03409.00
140.08, 00000.00
140.53, 03353.00
141.20, 03396.00
141.89, 03116.00
142.58, 03037.00
143.27, 02987.00
143.95, 02901.00
144.75, 02833.00
145.44, 02795.00
146.81, 02716.00
147.48, 02666.00
148.17, 02608.00
148.36, 00000.00
148.86, 02578.00
149.55, 02542.00
150.23, 02485.00
150.91, 02450.00
151.59, 02392.00
152.28, 02354.00
153.09, 02095.00
153.78, 02244.00
154.47, 02220.00
155.17, 02194.00
155.86, 02150.00
156.56, 02126.00
157.27, 02097.00
157.95, 02064.00
158.66, 02034.00
159.36, 02013.00
160.05, 01995.00
161.45, 01974.00
162.27, 01948.00
162.84, 01915.00
162.84, 00000.00
163.67, 01898.00
164.36, 01895.00
165.06, 01858.00
165.77, 01849.00
166.45, 01822.00
167.16, 01803.00
167.86, 01790.00
168.55, 01772.00
169.25, 01758.00
169.95, 01735.00
170.64, 01725.00
171.34, 01715.00
172.17, 01694.00
172.73, 01684.00
173.44, 01676.00
174.27, 01657.00
174.83, 01659.00
175.53, 01638.00
176.23, 01624.00
177.03, 01614.00
177.59, 01610.00
178.39, 01594.00
179.08, 01588.00
179.75, 01586.00
180.44, 01569.00
181.11, 01556.00
181.80, 01549.00
182.47, 01543.00
183.16, 01537.00
183.83, 01525.00
184.52, 01523.00
185.19, 01516.00
185.88, 01509.00
186.55, 01502.00
187.23, 01501.00
187.91, 01495.00
188.59, 01481.00
189.27, 01480.00
189.95, 01467.00
190.75, 01466.00
191.31, 01461.00
192.11, 01460.00
192.67, 01450.00
193.36, 01436.00
194.03, 01444.00
194.70, 01436.00
195.52, 01434.00
196.19, 01432.00
196.75, 01515.00
197.30, 01660.00
197.98, 01816.00
198.55, 01980.00
199.25, 02181.00
199.83, 02405.00
200.53, 02682.00
201.11, 03108.00
201.80, 03622.00
202.38, 04391.00
203.08, 05438.00
204.36, 11251.00
206.28, 00000.00
207.67, 00000.00
208.36, 00000.00
209.05, 00000.00
209.73, 00000.00
210.42, 00000.00
211.11, 00000.00
211.80, 00000.00
212.50, 00000.00
213.19, 00000.00
213.88, 00000.00
214.56, 00000.00
215.25, 00000.00
215.94, 00000.00
216.62, 00000.00
217.31, 00000.00
218.02, 00000.00
218.70, 00000.00
219.39, 00000.00
219.77, 09402.00
220.08, 00000.00
220.45, 08775.00
220.77, 00000.00
221.45, 00000.00
223.53, 00000.00
224.22, 00000.00
224.91, 00000.00
225.59, 00000.00
226.28, 00000.00
226.69, 06152.00
226.97, 00000.00
227.50, 05913.00
227.67, 00000.00
228.19, 05738.00
228.36, 00000.00
228.89, 05568.00
229.58, 05416.00
230.27, 05317.00
230.97, 05148.00
231.66, 05025.00
232.34, 04867.00
233.03, 04741.00
233.73, 04655.00
234.42, 04573.00
235.11, 04484.00
235.81, 04371.00
236.50, 04300.00
237.19, 04183.00
237.89, 04127.00
238.58, 04021.00
239.27, 03960.00
240.09, 03878.00
240.78, 03817.00
241.47, 03727.00
242.17, 03668.00
242.86, 03637.00
243.55, 03597.00
244.25, 03512.00
244.94, 03466.00
245.64, 03359.00
246.33, 03345.00
247.03, 03302.00
247.72, 03227.00
248.42, 03193.00
249.11, 03092.00
249.81, 03106.00
250.50, 03114.00
251.20, 03072.00
251.89, 03042.00
252.59, 03000.00
253.28, 02955.00
253.97, 02948.00
254.67, 02895.00
255.48, 02875.00
256.19, 02838.00
256.88, 02810.00
257.58, 02791.00
258.27, 02767.00
258.97, 02726.00
259.66, 02709.00
260.36, 02674.00
261.05, 02643.00
261.75, 02625.00
262.44, 02615.00
263.14, 02625.00
263.83, 02681.00
264.53, 02739.00
265.23, 02781.00
265.94, 02846.00
266.64, 02897.00
267.22, 02983.00
267.94, 03030.00
268.64, 03091.00
269.34, 03195.00
270.05, 03260.00
270.75, 03326.00
271.47, 03425.00
272.17, 03503.00
272.88, 03607.00
273.58, 03205.00
274.30, 03783.00
276.62, 00000.00
277.31, 00000.00
278.02, 00000.00
278.70, 00000.00
279.39, 00000.00
279.81, 05135.00
280.08, 00000.00
280.77, 00000.00
282.14, 00000.00
282.84, 00000.00
283.53, 00000.00
284.22, 00000.00
284.91, 00000.00
285.59, 00000.00
286.28, 00000.00
286.97, 00000.00
287.67, 00000.00
288.36, 00000.00
289.05, 00000.00
289.73, 00000.00
290.42, 00000.00
291.11, 00000.00
291.80, 00000.00
292.50, 00000.00
293.19, 00000.00
293.88, 00000.00
294.56, 00000.00
295.25, 00000.00
295.94, 00000.00
296.62, 00000.00
297.31, 00000.00
298.02, 00000.00
298.70, 00000.00
299.39, 00000.00
300.08, 00000.00
300.77, 00000.00
301.45, 00000.00
302.14, 00000.00
302.84, 00000.00
303.53, 00000.00
304.08, 07430.00
304.22, 00000.00
304.77, 07311.00
304.91, 00000.00
305.47, 07186.00
306.16, 07171.00
306.84, 06999.00
307.55, 06976.00
308.23, 06917.00
308.94, 06876.00
309.64, 06867.00
310.34, 06907.00
311.05, 07108.00
311.88, 05903.00
313.28, 05374.00
313.88, 00000.00
314.00, 05066.00
314.70, 05008.00
315.41, 04869.00
316.11, 04770.00
316.81, 04537.00
317.52, 04230.00
318.23, 04013.00
318.94, 03890.00
319.77, 03794.00
320.47, 03676.00
321.17, 03640.00
321.88, 03519.00
322.58, 03452.00
323.30, 03402.00
324.00, 03316.00
324.70, 03338.00
325.41, 03338.00
326.11, 03340.00
326.81, 03381.00
327.53, 03419.00
328.11, 04083.00
328.81, 04091.00
329.52, 04166.00
330.22, 04189.00
330.92, 04211.00
331.64, 04236.00
332.33, 04310.00
333.03, 04353.00
333.73, 04398.00
335.12, 04539.00
335.25, 00000.00
336.09, 02549.00
336.80, 02528.00
337.50, 02480.00
338.17, 02461.00
338.88, 02412.00
339.58, 02378.00
340.41, 02366.00
340.97, 02318.00
341.67, 02300.00
342.50, 02275.00
343.20, 02220.00
343.89, 02204.00
344.59, 02186.00
345.30, 02154.00
346.00, 02130.00
346.69, 02128.00
347.39, 02097.00
348.09, 02077.00
348.80, 02050.00
349.48, 02024.00
350.19, 02005.00
350.89, 01991.00
351.59, 01973.00
352.50, 01946.00
353.05, 01997.00
353.84, 01939.00
354.52, 01894.00
355.08, 01885.00
355.86, 01872.00
356.52, 01849.00
357.19, 01844.00
357.86, 01834.00
358.53, 01820.00
359.20, 01815.00
359.88, 01809.00
0.14, 01802.00
0.84, 01790.00
1.55, 01781.00
2.25, 01768.00
2.95, 01753.00
3.66, 01749.00
4.36, 01732.00
5.06, 01728.00
5.77, 01729.00
6.47, 01713.00
7.17, 01709.00
7.88, 01709.00
8.58, 01694.00
9.28, 01695.00
9.98, 01684.00
10.81, 01686.00
11.39, 01670.00
12.09, 01672.00
12.92, 01661.00
13.50, 01649.00
14.33, 01646.00
14.91, 01639.00
15.73, 01641.00
16.31, 01640.00
17.02, 01637.00
17.72, 01631.00
18.42, 01623.00
19.14, 01629.00
19.84, 01636.00
20.69, 01613.00
21.39, 01618.00
22.11, 01618.00
22.81, 01616.00
23.52, 01611.00
24.23, 01609.00
24.94, 01610.00
25.66, 01597.00
26.36, 01597.00
27.08, 01612.00
27.78, 01612.00
28.50, 01613.00
29.20, 01621.00
29.91, 01618.00
30.62, 01617.00
31.20, 01624.00
32.05, 01616.00
32.62, 01626.00
33.34, 01623.00
34.05, 01625.00
34.75, 01623.00
35.47, 01627.00
36.17, 01637.00
36.89, 01638.00
37.72, 01642.00
38.44, 01643.00
39.14, 01645.00
39.73, 01680.00
40.42, 01689.00
41.25, 01687.00
41.83, 01693.00
42.53, 01699.00
43.23, 01708.00
43.94, 01717.00
44.64, 01725.00
45.34, 01727.00
45.92, 02038.00
47.45, 01735.00
47.72, 00000.00
48.16, 01741.00
48.86, 01756.00
49.56, 01760.00
50.27, 01769.00
50.97, 01781.00
